store_name,comment_count,address,phone,website,link
1 Kitchen Toronto,123,"550 Wellington St W, Toronto, Ontario M5V 2V4 Canada",+1 416-601-3533,https://www.1hotels.com/toronto/taste/1-kitchen,https://www.tripadvisor.com//Restaurant_Review-g155019-d23290154-Reviews-1_Kitchen_Toronto-Toronto_Ontario.html
New Orleans Seafood & Steakhouse,343,"267 Scarlett Rd York, Toronto, Ontario M6N 4L1 Canada",+1 416-766-7001,http://cajuntoronto.com,https://www.tripadvisor.com//Restaurant_Review-g155019-d1867454-Reviews-New_Orleans_Seafood_Steakhouse-Toronto_Ontario.html
ALO RESTAURANT,586,"163 Spadina Ave 3rd Floor, Toronto, Ontario M5V 2L6 Canada",+1 416-260-2222,http://alorestaurant.com/,https://www.tripadvisor.com//Restaurant_Review-g155019-d8443957-Reviews-ALO_RESTAURANT-Toronto_Ontario.html
Mad Mexican Tacohouse,151,"405 Jane St, Toronto, Ontario M6S 3Z6 Canada",+1 416-907-5787,akZDX2h0dHA6Ly9tYWRtZXhpY2FuLmNhL184N0Y=,https://www.tripadvisor.com//Restaurant_Review-g155019-d6602124-Reviews-Mad_Mexican_Tacohouse-Toronto_Ontario.html
LaVinia Restaurant,412,"2350 Lake Shore Blvd W, Toronto, Ontario M8V 1B6 Canada",+1 647-748-2350,anNMX2h0dHA6Ly93d3cubGF2aW5pYXJlc3RhdXJhbnQuY29tX2JVag==,https://www.tripadvisor.com//Restaurant_Review-g155019-d3847893-Reviews-LaVinia_Restaurant-Toronto_Ontario.html
Richmond Station,"2,139","1 Richmond St. West, Toronto, Ontario M5H 3W4 Canada",+1 647-748-1444,cjIwX2h0dHA6Ly93d3cucmljaG1vbmRzdGF0aW9uLmNhL180UUE=,https://www.tripadvisor.com//Restaurant_Review-g155019-d3663583-Reviews-Richmond_Station-Toronto_Ontario.html
Perfect Chinese Restaurant,115,"4386 Sheppard Ave East Scarborough ON Canada, Toronto, Ontario M1S 1T8 Canada",+1 416-297-6100,akFZX2h0dHBzOi8vcGVyZmVjdGNoaW5lc2VyZXN0YXVyYW50LmNvbS9fSWo0,https://www.tripadvisor.com//Restaurant_Review-g155019-d796510-Reviews-Perfect_Chinese_Restaurant-Toronto_Ontario.html
Casa Madera,450,"550 Wellington St W, Toronto, Ontario M5V 2V5 Canada",+1 416-604-3593,SFlYX2h0dHA6Ly93d3cudGhlY2FzYW1hZGVyYS5jb20vXzZNSg==,https://www.tripadvisor.com//Restaurant_Review-g155019-d23978218-Reviews-Casa_Madera-Toronto_Ontario.html
Harriet's Rooftop,106,"550 Wellington St W Wellington St. West and Bathurst St., Toronto, Ontario M5V 2V4 Canada",+1 4166013599,OE84X2h0dHA6Ly93d3cuMWhvdGVscy5jb20vdG9yb250by90YXN0ZS9oYXJyaWV0cy1yb29mdG9wX2gwcA==,https://www.tripadvisor.com//Restaurant_Review-g155019-d23627825-Reviews-Harriet_s_Rooftop-Toronto_Ontario.html
1 Kitchen Toronto,123,"550 Wellington St W, Toronto, Ontario M5V 2V4 Canada",+1 416-601-3533,https://www.1hotels.com/toronto/taste/1-kitchen,https://www.tripadvisor.com//Restaurant_Review-g155019-d23290154-Reviews-1_Kitchen_Toronto-Toronto_Ontario.html
New Orleans Seafood & Steakhouse,343,"267 Scarlett Rd York, Toronto, Ontario M6N 4L1 Canada",+1 416-766-7001,http://cajuntoronto.com,https://www.tripadvisor.com//Restaurant_Review-g155019-d1867454-Reviews-New_Orleans_Seafood_Steakhouse-Toronto_Ontario.html
ALO RESTAURANT,586,"163 Spadina Ave 3rd Floor, Toronto, Ontario M5V 2L6 Canada",+1 416-260-2222,http://alorestaurant.com/,https://www.tripadvisor.com//Restaurant_Review-g155019-d8443957-Reviews-ALO_RESTAURANT-Toronto_Ontario.html
Black + Blue,69,"130 King St W, Financial District, Toronto, Ontario M5X 2A2 Canada",6473688283,Nk51X2h0dHA6Ly93d3cuYmxhY2thbmRibHVlLmNhL182VUY=,https://www.tripadvisor.com//Restaurant_Review-g155019-d25428817-Reviews-Black_Blue-Toronto_Ontario.html
LaVinia Restaurant,412,"2350 Lake Shore Blvd W, Toronto, Ontario M8V 1B6 Canada",+1 647-748-2350,Ym9DX2h0dHA6Ly93d3cubGF2aW5pYXJlc3RhdXJhbnQuY29tX0JRaQ==,https://www.tripadvisor.com//Restaurant_Review-g155019-d3847893-Reviews-LaVinia_Restaurant-Toronto_Ontario.html
,,,,UGN4X2h0dHA6Ly93d3cucmljaG1vbmRzdGF0aW9uLmNhL19rVWk=,https://www.tripadvisor.com//Restaurant_Review-g155019-d3663583-Reviews-Richmond_Station-Toronto_Ontario.html
Scaramouche Restaurant,"1,706","1 Benvenuto Pl, Toronto, Ontario M4V 2L1 Canada",+1 416-961-8011,cWRnX2h0dHA6Ly93d3cuc2NhcmFtb3VjaGVyZXN0YXVyYW50LmNvbV80ckQ=,https://www.tripadvisor.com//Restaurant_Review-g155019-d708780-Reviews-Scaramouche_Restaurant-Toronto_Ontario.html
Goodfellas Wood Oven Pizza,382,"1 Old Mill Dr, Toronto, Ontario M6S 0A1 Canada",+1 855-433-5527,http://www.goodfellaspizza.ca/,https://www.tripadvisor.com//Restaurant_Review-g155019-d10766823-Reviews-Goodfellas_Wood_Oven_Pizza-Toronto_Ontario.html
Moxies,881,"55 Reading Court Sandman Signature Hotel, Toronto, Ontario M9W 7K7 Canada",+1 416-798-6788,http://moxies.com/restaurant-locations/ontario/etobicoke-dixon-road,https://www.tripadvisor.com//Restaurant_Review-g155019-d1072610-Reviews-Moxies-Toronto_Ontario.html
Roses Cocina,3,"111 Princes Boulevard 2nd Floor of Hotel X, Toronto, Ontario M6K 3C3 Canada",+1 647-259-6825,QWNBX2h0dHA6Ly93d3cucm9zZXNjb2NpbmEuY2EvX2pNaA==,https://www.tripadvisor.com//Restaurant_Review-g155019-d25044447-Reviews-Roses_Cocina-Toronto_Ontario.html
Sportsnet Grill,539,"1-1 Blue Jays Way Toronto Marriott City Centre Hotel, Toronto, Ontario M5V 1J4 Canada",+1 416-341-5045,http://www.sportsnetgrill.ca/,https://www.tripadvisor.com//Restaurant_Review-g155019-d1308917-Reviews-Sportsnet_Grill-Toronto_Ontario.html
Michael's on Simcoe,562,"100 Simcoe St, Toronto, Ontario M5H 3G2 Canada",+1 416-260-5100,http://www.michaelsonsimcoe.com/,https://www.tripadvisor.com//Restaurant_Review-g155019-d3611679-Reviews-Michael_s_on_Simcoe-Toronto_Ontario.html
